model,R2,Adj_R2,AIC,BIC,RMSE,N
temp_only,0.24130562814769885,0.23653396543164662,463.0324211456668,469.1952298756357,1.006650005840793,161
lat_only,0.4038078508623496,0.4000582147042512,424.22562334539737,430.38843207536627,0.8923560976104721,161
both,0.4205473959124627,0.41321255282274705,421.64048162020435,430.88469471515776,0.8797393715465447,161
