region,countries,mean_gdp,median_gdp,mean_temp,mean_abs_latitude
Europe,36,50372.69738888889,45733.002,8.462247808337896,49.974444444444444
Americas,31,25844.90730322581,21451.287,20.143110611686822,19.93967741935484
Asia,38,25688.58080263158,15725.131000000001,17.605747428208435,28.44526315789474
Oceania,8,17362.9467,5667.56615,22.643756607132495,16.375
Africa,48,6989.900566666666,3848.06775,23.90277111579465,13.244791666666666
